doctor_id,work_date,hours_booked
DR2000,2025-11-06,5.02
DR2000,2025-11-07,7.85
DR2000,2025-11-08,6.64
DR2000,2025-11-09,4.52
DR2000,2025-11-10,7.5
DR2000,2025-11-11,3.72
DR2000,2025-11-12,7.4
DR2000,2025-11-13,7.43
DR2000,2025-11-14,7.08
DR2000,2025-11-15,5.4
DR2000,2025-11-16,3.47
DR2000,2025-11-17,4.57
DR2000,2025-11-18,4.77
DR2000,2025-11-19,4.86
DR2000,2025-11-20,7.5
DR2000,2025-11-21,6.24
DR2000,2025-11-22,4.0
DR2000,2025-11-23,7.49
DR2000,2025-11-24,3.29
DR2000,2025-11-25,6.85
DR2000,2025-11-26,3.3
DR2000,2025-11-27,5.79
DR2000,2025-11-28,7.04
DR2000,2025-11-29,3.82
DR2000,2025-11-30,6.48
DR2000,2025-12-01,3.9
DR2000,2025-12-02,7.8
DR2000,2025-12-03,3.28
DR2000,2025-12-04,6.47
DR2000,2025-12-05,4.03
DR2000,2025-12-06,5.47
DR2000,2025-12-07,3.24
DR2000,2025-12-08,6.26
DR2000,2025-12-09,6.71
DR2000,2025-12-10,5.85
DR2000,2025-12-11,6.2
DR2000,2025-12-12,5.23
DR2000,2025-12-13,6.23
DR2000,2025-12-14,4.17
DR2000,2025-12-15,6.13
DR2000,2025-12-16,3.92
DR2000,2025-12-17,7.77
DR2000,2025-12-18,3.78
DR2000,2025-12-19,5.67
DR2000,2025-12-20,3.7
DR2000,2025-12-21,6.19
DR2000,2025-12-22,4.18
DR2000,2025-12-23,7.77
DR2000,2025-12-24,7.13
DR2000,2025-12-25,7.13
DR2000,2025-12-26,6.91
DR2000,2025-12-27,7.54
DR2000,2025-12-28,6.64
DR2000,2025-12-29,3.92
DR2000,2025-12-30,4.0
DR2000,2025-12-31,3.89
DR2000,2026-01-01,4.66
DR2000,2026-01-02,3.86
DR2000,2026-01-03,3.54
DR2000,2026-01-04,6.89
DR2000,2026-01-05,5.08
DR2000,2026-01-06,3.48
DR2000,2026-01-07,4.23
DR2000,2026-01-08,5.72
DR2000,2026-01-09,6.29
DR2000,2026-01-10,3.59
DR2000,2026-01-11,6.84
DR2000,2026-01-12,6.0
DR2000,2026-01-13,6.06
DR2000,2026-01-14,5.8
DR2000,2026-01-15,6.41
DR2000,2026-01-16,7.96
DR2000,2026-01-17,3.99
DR2000,2026-01-18,6.49
DR2000,2026-01-19,4.12
DR2000,2026-01-20,4.05
DR2000,2026-01-21,7.71
DR2000,2026-01-22,4.65
DR2000,2026-01-23,6.82
DR2000,2026-01-24,7.94
DR2000,2026-01-25,3.77
DR2000,2026-01-26,6.0
DR2000,2026-01-27,5.33
DR2000,2026-01-28,3.42
DR2000,2026-01-29,6.59
DR2000,2026-01-30,6.88
DR2000,2026-01-31,5.12
DR2000,2026-02-01,3.9
DR2000,2026-02-02,7.6
DR2000,2026-02-03,3.73
DR2000,2026-02-04,6.29
DR2001,2025-11-06,6.68
DR2001,2025-11-07,8.52
DR2001,2025-11-08,5.91
DR2001,2025-11-09,9.67
DR2001,2025-11-10,9.13
DR2001,2025-11-11,4.48
DR2001,2025-11-12,5.56
DR2001,2025-11-13,7.97
DR2001,2025-11-14,8.95
DR2001,2025-11-15,5.54
DR2001,2025-11-16,4.79
DR2001,2025-11-17,6.87
DR2001,2025-11-18,8.29
DR2001,2025-11-19,9.24
DR2001,2025-11-20,9.94
DR2001,2025-11-21,9.45
DR2001,2025-11-22,9.51
DR2001,2025-11-23,7.82
DR2001,2025-11-24,9.95
DR2001,2025-11-25,8.81
DR2001,2025-11-26,8.63
DR2001,2025-11-27,4.99
DR2001,2025-11-28,5.05
DR2001,2025-11-29,6.06
DR2001,2025-11-30,8.1
DR2001,2025-12-01,6.71
DR2001,2025-12-02,4.19
DR2001,2025-12-03,6.95
DR2001,2025-12-04,7.09
DR2001,2025-12-05,8.83
DR2001,2025-12-06,7.89
DR2001,2025-12-07,7.15
DR2001,2025-12-08,8.7
DR2001,2025-12-09,6.63
DR2001,2025-12-10,5.61
DR2001,2025-12-11,5.33
DR2001,2025-12-12,8.41
DR2001,2025-12-13,8.51
DR2001,2025-12-14,9.33
DR2001,2025-12-15,9.94
DR2001,2025-12-16,6.4
DR2001,2025-12-17,4.03
DR2001,2025-12-18,7.89
DR2001,2025-12-19,7.3
DR2001,2025-12-20,4.01
DR2001,2025-12-21,9.71
DR2001,2025-12-22,6.93
DR2001,2025-12-23,9.73
DR2001,2025-12-24,8.48
DR2001,2025-12-25,6.29
DR2001,2025-12-26,8.56
DR2001,2025-12-27,9.73
DR2001,2025-12-28,6.13
DR2001,2025-12-29,7.11
DR2001,2025-12-30,9.43
DR2001,2025-12-31,9.73
DR2001,2026-01-01,8.36
DR2001,2026-01-02,9.47
DR2001,2026-01-03,5.9
DR2001,2026-01-04,9.04
DR2001,2026-01-05,5.36
DR2001,2026-01-06,5.99
DR2001,2026-01-07,5.33
DR2001,2026-01-08,5.27
DR2001,2026-01-09,8.6
DR2001,2026-01-10,7.54
DR2001,2026-01-11,4.22
DR2001,2026-01-12,5.48
DR2001,2026-01-13,8.34
DR2001,2026-01-14,9.95
DR2001,2026-01-15,7.55
